"product_sku","total_ordered"
"GGGGOEGAAX0605",0
"GGGGOEGAAX0304",0
"GGGGOEGAAX0356",0
"GGGGOEGAAX0355",0
"GGGGOEGAAX0339",0
"GGGGOEWXXX0828",0
"GGGGOEGAAX0328",0
"GGGGOEGAAX0746",0
"GGGGOEWXXX0835",0
"GGGGOEAXXX0810",0
"GGGGOEGAAX0340",0
"GGGGOEGAAX0603",0
"GGGGOEGAAX0329",0
"GGGGOEGAAX0686",0
"GGGGOEGAAX0282",0
"GGGGOEGAAX0168",0
"GGGGOEGAAX0590",0
"GGGGOEGAAX0588",0
"GGGGOEGAAX0580",0
"GGGGOEWXXX0834",0
"GGGGOEGAAX0593",0
"GGGGOEGAAX0306",0
"GGGGOEGAAX0567",0
"GGGGOEGAAX0595",0
"GGGGOEGAAX0607",0
"GGGGOEGAAX0683",0
"GGGGOEGAAX0582",0
"GGGGOEGAAX0349",0
"GGGGOEGAAX0353",0
"GGGGOEGAAX0350",0
"GGGGOEGAAX0598",0
"GGGGOEGAAX0732",0
"GGGGOEGAAX0323",0
"GGGGOEGAAX0331",0
"GGGGOEGAAX0604",0
"GGGGOEGAAX0581",0
"GGGGOEGAAX0575",0
"GGGGOEGAAX0365",0
"GGGGOEGAAX0324",0
